200  3.372, 3.409, 3.711, 3.366, 3.3379, 3.373        				3.42815            0.057321570983356669
400  14.431, 13.768, 14.803, 14.029, 13.848, 13.881   				14.126666666666667 0.16595514788975693
600  33.229, 32.582, 31.024, 31.608, 32.466, 31.779   				32.114666666666665 0.32365163027208388
800  55.585, 56.726, 55.295, 55.303, 54.997, 55.709	   				55.6025            0.24662978327850021
1000 84.151, 84.138, 84.095, 84.392, 84.051, 84.146   				84.16216666666666. 0.048532749538612578
1200 126.580, 125.095, 127.586, 124.953, 128.426, 131.212 			127.30866666666667 0.95815446446685926
1400 182.386, 177.712, 174.942, 176.624, 170.565, 170.154			175.39716666666666 1.8864002123385983
1600 222.399, 220.579, 221.788, 222.024, 222.322, 226.443			222.5925           0.81571149924467867
1800 290.897, 291.087, 291.301, 291.407, 294.728, 296.894           292.719            1.0195077570409528
2000 359.388, 360.973, 360.214, 367.307, 356.216, 344.524			358.10366666666664 3.0930463372611237
