0  26.948, 28.551, 27.910, 29.626, 28.183, 27.691         28.1515 0.36758389065173513
10 35.243, 35.205, 35.047, 35.283, 35.396, 35.147         35.220166666666664 0.048633607492945027
20 43.009, 43.200, 43.356, 42.989, 43.240, 43.471		  43.21083333333333  0.077389670571149899
30 51.306, 51.047, 50.895, 50.968, 51.930, 51.395		  51.25683333333333  0.15631579503613091
40 58.890, 58.969, 58.850, 58.850, 59.081, 58.963         58.93383333333333 0.036388108558215303
50 68.514, 68.210, 67.446, 70.601, 68.172, 67.668		  68.43516666666666 0.46130253389481568
60 78.067, 76.551, 76.844, 75.880, 78.069, 75.977	      76.898            0.39773072968194584
70 85.069, 83.067, 84.158, 83.562, 84.934, 83.808         84.09966666666666 0.32039961159638064
80 91.935, 92.109, 91.635, 91.087, 95.651, 92.746		  92.52716666666666 0.66336990267706331
90 100.567, 105.926, 103.706, 102.723, 102.573, 100.889   102.73066666666666 0.80123940103927738
100 109.937, 109.308, 109.279, 110.818, 109.236, 109.187  109.6275          0.26356058759483181
